name,debut,start,end,salary,birth,target,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.J. Lawson,2021,2023,2026,1978006,2000,0.01397,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Brooks,2007,2012,2013,3323125,1985,0.05725,PG,50,26.5,25.05,4.5,11.375,0.39575,1.5,4.525,0.32675,3.025,6.85,0.439,0.4595,2.3,2.675,0.86375,0.425,1.225,1.625,4.3,0.625,0.1,1.975,2.025,12.875
Aaron Brooks,2007,2012,2013,2454000,1985,0.04228,PG,50,26.5,25.05,4.5,11.375,0.39575,1.5,4.525,0.32675,3.025,6.85,0.439,0.4595,2.3,2.675,0.86375,0.425,1.225,1.625,4.3,0.625,0.1,1.975,2.025,12.875
Aaron Brooks,2007,2015,2015,2250000,1985,0.03214,PG,45,10.9,19.99,3.15,7.9,0.3994,1.12,3.23,0.3491,2.05,4.64,0.4329,0.4731,1.34,1.54,0.7621,0.38,1.15,1.54,3.08,0.59,0.17,1.54,1.86,8.79
Aaron Brooks,2007,2016,2016,2700000,1985,0.02868,PG,50.125,10.625,18.925,2.9,7.0625,0.4055,1.0875,2.9125,0.367375,1.8375,4.1125,0.432125,0.484375,0.9875,1.15,0.71925,0.3875,1.225,1.625,2.6875,0.575,0.2,1.4375,1.85,7.8875
Aaron Brooks,2007,2017,2017,2116955,1985,0.02136,PG,51.7777778,9.4444444,18.3555556,2.7888889,6.7888889,0.4052222,1.0444444,2.8111111,0.3682222,1.7555556,3.9444444,0.4312222,0.4842222,0.9333333,1.0888889,0.7282222,0.3777778,1.1777778,1.5666667,2.6,0.5555556,0.1888889,1.3888889,1.8,7.5666667
Aaron Brooks,2007,2014,2014,1145685,1985,0.01817,PG,45,17,21.25,3.43,8.52,0.4005,1.22,3.49,0.3502,2.23,5.01,0.4341,0.4747,1.46,1.69,0.761,0.41,1.19,1.6,3.29,0.6,0.17,1.63,1.87,9.59
Aaron Brooks,2007,2013,2013,947907,1985,0.01615,PG,43.71428571,20.85714286,20.74285714,3.471428571,8.571428571,0.400428571,1.171428571,3.485714286,0.334857143,2.314285714,5.071428571,0.445285714,0.470428571,1.557142857,1.828571429,0.713285714,0.328571429,1.1,1.428571429,3.228571429,0.542857143,0.171428571,1.6,1.785714286,9.714285714
Aaron Gordon,2014,2018,2021,20000000,1995,0.18741,PF,65.75,43.5,25.625,4.225,9.375,0.452,0.95,3,0.29775,3.3,6.375,0.514,0.4965,1.825,2.6,0.7015,1.5,4.275,5.775,1.625,0.75,0.625,1.125,1.975,11.175
Aaron Gordon,2014,2022,2025,21660000,1995,0.16218,PF,49.66666667,49.5,30.36666667,5.283333333,11.76666667,0.453333333,1.4,4.116666667,0.328166667,3.9,7.65,0.517333333,0.5105,2.2,3.283333333,0.681333333,1.583333333,5.066666667,6.666666667,3.216666667,0.75,0.7,1.883333333,1.916666667,14.2
Aaron Harrison,2015,2017,2017,91442,1994,0.00092,SG,13,0,3.9,0.1,0.85,0.1315,0.05,0.45,0.15,0.05,0.4,0.111,0.171,0.2,0.5,0.4585,0.1,0.55,0.65,0.35,0.15,0,0.1,0.45,0.55
Aaron Harrison,2015,2017,2017,8313,1994,0.00008,SG,13,0,3.9,0.1,0.85,0.1315,0.05,0.45,0.15,0.05,0.4,0.111,0.171,0.2,0.5,0.4585,0.1,0.55,0.65,0.35,0.15,0,0.1,0.45,0.55
Aaron Holiday,2018,2023,2023,2346614,1996,0.01751,PG,60.66666667,13.66666667,18.4,2.733333333,6.766666667,0.401666667,1.066666667,2.866666667,0.367,1.666666667,3.9,0.430666667,0.480333333,0.966666667,1.2,0.83,0.2,1.433333333,1.666666667,2.333333333,0.633333333,0.233333333,1.033333333,1.533333333,7.533333333
Aaron Holiday,2018,2022,2022,1968175,1996,0.01592,PG,60.66666667,13.66666667,18.4,2.733333333,6.766666667,0.401666667,1.066666667,2.866666667,0.367,1.666666667,3.9,0.430666667,0.480333333,0.966666667,1.2,0.83,0.2,1.433333333,1.666666667,2.333333333,0.633333333,0.233333333,1.033333333,1.533333333,7.533333333
Aaron Nesmith,2020,2024,2026,11000000,1999,0.07567,SF,46,1,14.5,1.7,3.9,0.438,0.9,2.3,0.37,0.8,1.5,0.543,0.551,0.5,0.6,0.786,0.6,2.2,2.8,0.5,0.3,0.2,0.5,1.9,4.7
