name,debut,start,end,salary,target
A.J. Lawson,2021,2023,2026,1978006,0.013971107
Aaron Brooks,2007,2012,2013,3323125,0.057251826
Aaron Brooks,2007,2012,2013,2454000,0.042278272
Aaron Brooks,2007,2015,2015,2250000,0.032142857
Aaron Brooks,2007,2016,2016,2700000,0.028679774
Aaron Brooks,2007,2017,2017,2116955,0.021363315
Aaron Brooks,2007,2014,2014,1145685,0.018166733
Aaron Brooks,2007,2013,2013,947907,0.01615411
Aaron Gordon,2014,2018,2021,20000000,0.187412736
Aaron Gordon,2014,2022,2025,21660000,0.162184423
Aaron Harrison,2015,2017,2017,91442,0.00092279
Aaron Harrison,2015,2017,2017,8313,8.39E-05
Aaron Holiday,2018,2023,2023,2346614,0.017512045
Aaron Holiday,2018,2022,2022,1968175,0.015916663
Aaron Nesmith,2020,2024,2026,11000000,0.075670284
Adam Mokoka,2019,2022,2022,1836090,0.01484849
Ade Murkey,2020,2021,2021,925258,0.008230808
Ade Murkey,2020,2021,2021,5318,4.73E-05
Admiral Schofield,2019,2021,2021,1489065,0.013246259
Admiral Schofield,2019,2022,2023,1251873,0.010123917
Admiral Schofield,2019,2021,2021,8558,7.61E-05
AJ Green,2022,2015,2017,15050000,0.18337669
AJ Green,2022,2012,2015,10500000,0.175206354
AJ Green,2022,2023,2025,2108016,0.015220332
AJ Green,2022,2016,2017,748554,0.007951244
AJ Green,2022,2016,2016,5145,5.47E-05
Al Horford,2007,2016,2019,28331557,0.288015015
Al Horford,2007,2019,2022,27250000,0.247207388
Al Horford,2007,2023,2024,9750000,0.072761194
Al Jefferson,2004,2008,2012,13000000,0.223686701
Al Jefferson,2004,2013,2015,13500000,0.221776843
Al Jefferson,2004,2016,2018,10000000,0.103500383
Al Jefferson,2004,2016,2018,10000000,0.103500383
Alan Anderson,2005,2015,2015,4000000,0.057142857
Alan Anderson,2005,2016,2016,1315448,0.013972871
Alan Williams,2015,2017,2019,5666667,0.056395408
Alec Burks,2011,2015,2018,10500000,0.119664484
Alec Burks,2011,2021,2023,10012800,0.084829435
Alec Burks,2011,2020,2020,6000000,0.054975261
Alec Burks,2011,2019,2019,2320044,0.021257504
Aleem Ford,2021,2023,2023,1801769,0.013446037
Aleem Ford,2021,2022,2022,1637966,0.013246258
Aleksej Pokusevski,2020,2023,2024,1419214,0.010591149
Alex Caruso,2016,2021,2024,9245000,0.074945483
Alex Caruso,2016,2019,2020,2750000,0.025196995
Alex Len,2013,2017,2017,4187598,0.042259272
Alex Len,2013,2018,2019,4255000,0.041769331
Alex Len,2013,2021,2022,3825300,0.03402868
Alex Len,2013,2023,2023,3196448,0.02385409
Alex Len,2013,2020,2020,2258000,0.020689023
Alex Len,2013,2020,2020,1697755,0.015555754
Alex Poythress,2016,2017,2018,1161810,0.011724441
Alex Stepheson,2011,2015,2015,525093,0.007501329
Alex Stepheson,2011,2015,2015,3089,4.41E-05
Alexis Ajinca,2008,2015,2018,5050000,0.057552918
Al-Farouq Aminu,2010,2019,2021,9720900,0.089068169
Al-Farouq Aminu,2010,2015,2018,7500000,0.085474631
Al-Farouq Aminu,2010,2013,2013,3749602,0.063900237
Al-Farouq Aminu,2010,2014,2014,981084,0.015556711
Al-Farouq Aminu,2010,2021,2021,15182,0.000135054
Alfonzo McKinnie,2017,2019,2022,1834739,0.016644442
Alfonzo McKinnie,2017,2018,2019,1468807,0.014418587
Alfonzo McKinnie,2017,2021,2022,1563163,0.013905412
Alfonzo McKinnie,2017,2018,2018,1349383,0.013246257
Alfonzo McKinnie,2017,2021,2021,10283,9.15E-05
Alfonzo McKinnie,2017,2021,2021,10109,8.99E-05
Alfonzo McKinnie,2017,2019,2019,9156,8.39E-05
Alize Johnson,2018,2021,2022,1803969,0.016047547
Alize Johnson,2018,2022,2022,1968175,0.015916663
Alize Johnson,2018,2020,2020,1620564,0.014848488
Alize Johnson,2018,2020,2022,1357749,0.012256597
Alize Johnson,2018,2022,2022,1493098,0.012074708
Alize Johnson,2018,2020,2020,11100,0.000101704
Alize Johnson,2018,2021,2021,9938,8.84E-05
Allen Crabbe,2013,2016,2019,18708125,0.190184426
Alonzo Gee,2009,2015,2016,1349700,0.019281429
Alonzo Gee,2009,2016,2016,1400000,0.014870994
Alonzo Gee,2009,2016,2016,1145214,0.012164622
Alonzo Gee,2009,2016,2016,77379,0.00082193
Amida Brimah,2017,2023,2023,1801769,0.013446037
Amida Brimah,2017,2018,2018,838464,0.008230806
Amida Brimah,2017,2020,2020,898310,0.008230804
Amida Brimah,2017,2019,2019,898310,0.008230804
Amile Jefferson,2017,2019,2020,1641324,0.015038703
Amile Jefferson,2017,2020,2020,1620564,0.014848488
Amir Coffey,2019,2022,2024,3666667,0.028461835
Amir Coffey,2019,2021,2021,153488,0.001365382
Amir Johnson,2005,2015,2016,12000000,0.171428571
Amir Johnson,2005,2017,2017,11000000,0.111006832
Amir Johnson,2005,2018,2018,2393887,0.023499661
Anderson Varejao,2004,2015,2017,10000000,0.121844977
Anderson Varejao,2004,2016,2016,1551659,0.016481937
Anderson Varejao,2004,2015,2015,458575,0.006551071
Anderson Varejao,2004,2020,2020,17567,0.000160958
Anderson Varejao,2004,2020,2020,5270,4.83E-05
Andre Drummond,2012,2016,2020,25434263,0.251671763
Andre Drummond,2012,2022,2023,3280000,0.026525413
Andre Drummond,2012,2021,2021,2401537,0.021363327
Andre Drummond,2012,2020,2020,794536,0.007279971
Andre Iguodala,2004,2017,2019,16000000,0.159234084
Andre Iguodala,2004,2020,2021,15000000,0.137438153
Andre Iguodala,2004,2022,2022,2905851,0.023499664
Andre Iguodala,2004,2021,2021,2641691,0.023499662
Andre Ingram,2017,2018,2018,7624,7.48E-05
Andre Jackson Jr.,2023,2021,2021,728742,0.006482662
Andre Miller,1999,2015,2015,1499187,0.021416957
Andre Miller,1999,2015,2015,396844,0.0056692
