name,start,salary,target,debut,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Brooks,2012,2888562.5,0.049765049,2007,PG,26,100.0,53.0,28.56666667,5.333333333,12.98333333,0.407833334,1.833333333,5.15,0.3505,3.516666666,7.833333333,0.444,0.476666667,2.533333333,2.983333334,0.849833333,0.516666666,1.483333334,1.95,4.633333333,0.683333334,0.133333333,2.25,2.15,15.11666667
Aaron Brooks,2013,947907.0,0.01615411,2007,PG,26,100.0,53.0,28.56666667,5.333333333,12.98333333,0.407833334,1.833333333,5.15,0.3505,3.516666666,7.833333333,0.444,0.476666667,2.533333333,2.983333334,0.849833333,0.516666666,1.483333334,1.95,4.633333333,0.683333334,0.133333333,2.25,2.15,15.11666667
Aaron Brooks,2014,1145685.0,0.018166733,2007,PG,28,102.0,48.66666667,24.04444444,4.255555556,10.26666667,0.407444445,1.466666667,4.133333333,0.348888889,2.8,6.122222222,0.447222222,0.479444444,1.877777778,2.222222222,0.737444445,0.411111111,1.3,1.688888889,3.688888889,0.6,0.177777778,1.866666667,1.922222222,11.91111111
Aaron Brooks,2015,2250000.0,0.032142857,2007,PG,29,112.5,42.5,23.64166666,4.025,9.8,0.40575,1.433333333,3.975,0.358166667,2.608333333,5.808333334,0.437416667,0.48075,1.716666667,2.008333334,0.771166667,0.458333333,1.325,1.766666667,3.625,0.633333333,0.175,1.825,1.958333333,11.25833333
Aaron Brooks,2016,2700000.0,0.028679774,2007,PG,30,112.5,27.25,20.49166667,3.325,8.25,0.403,1.183333333,3.325,0.355416667,2.158333333,4.883333333,0.434416667,0.47675,1.416666667,1.633333334,0.773916667,0.383333333,1.225,1.616666667,3.1,0.608333333,0.175,1.6,1.933333333,9.258333332
Aaron Brooks,2017,2116955.0,0.021363315,2007,PG,31,100.25,21.25,19.13333333,3.083333333,7.508333333,0.407333334,1.141666666,3.025,0.368916667,1.975,4.441666667,0.433416667,0.483916667,1.075,1.266666667,0.746,0.375,1.283333333,1.666666667,2.758333333,0.566666666,0.183333334,1.475,1.933333333,8.375
Aaron Gordon,2018,20000000.0,0.187412736,2014,SF,21,68.33333333,39.0,23.2,3.466666667,7.533333333,0.458,0.6,2.033333333,0.285,2.9,5.5,0.519666667,0.495333333,1.533333333,2.166666667,0.702666667,1.5,3.566666667,5.066666667,1.4,0.666666667,0.566666667,0.9,2.0,9.033333333
Aaron Gordon,2022,21660000.0,0.162184423,2014,PF,25,75.6,73.8,31.11333333,5.48,12.29333333,0.448133333,1.4,4.186666667,0.321266667,4.12,8.093333333,0.5112,0.5028,2.28,3.28,0.696733333,1.586666667,5.146666667,6.753333333,2.96,0.793333333,0.66,1.706666667,2.02,14.62
Aaron Harrison,2017,91442.0,0.00092279,2015,SG,21,21.0,0.0,4.4,0.2,0.9,0.263,0.1,0.5,0.3,0.1,0.4,0.222,0.342,0.2,0.6,0.417,0.2,0.5,0.7,0.1,0.3,0.0,0.2,0.5,0.9
Aaron Holiday,2022,1968175.0,0.015916663,2018,PG,24,60.66666667,13.66666667,18.4,2.733333333,6.766666667,0.401666667,1.066666667,2.866666667,0.367,1.666666667,3.9,0.430666667,0.480333333,0.966666667,1.2,0.83,0.2,1.433333333,1.666666667,2.333333333,0.633333333,0.233333333,1.033333333,1.533333333,7.533333333
