name,start,Year,5year,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.J. Green,2024,2023,2019,SG,23,35,1,9.9,1.5,3.6,0.424,1.3,3,0.419,0.3,0.6,0.45,0.6,0.1,0.1,1,0.2,1.1,1.3,0.6,0.2,0,0.3,0.9,4.4
A.J. Green,2025,2024,2020,SG,24,45.5,0.5,10.45,1.5,3.55,0.4235,1.25,3,0.4135,0.3,0.55,0.4845,0.5995,0.2,0.2,0.9475,0.2,1.05,1.2,0.55,0.2,0.05,0.25,0.9,4.45
A.J. Hammons,2018,2017,2013,C,24,22,0,7.4,0.8,1.9,0.405,0.2,0.5,0.5,0.5,1.5,0.375,0.464,0.4,0.9,0.45,0.4,1.3,1.6,0.2,0,0.6,0.5,1,2.2
A.J. Lawson,2024,2023,2019,SG,22,30,0,5.6,1.333333333,2.333333333,0.662666667,0.466666667,1.166666667,0.266666667,0.866666667,1.2,0.747666667,0.739666667,0.0666666667,0.366666667,0.166666667,0.266666667,1,1.266666667,0.0666666667,0.0666666667,0,0.133333333,0.8,3.2
A.J. Lawson,2025,2024,2020,SG,23,36,0,6.5,1.316666667,2.616666667,0.554333334,0.383333333,1.183333334,0.263333333,0.933333334,1.45,0.662333333,0.619833334,0.233333333,0.433333333,0.409333334,0.283333334,0.95,1.233333334,0.283333333,0.133333333,0.05,0.216666666,0.65,3.2
A.J. Price,2011,2010,2006,PG,23,56,2,15.4,2.6,6.3,0.41,1.1,3.1,0.345,1.5,3.2,0.472,0.494,1.1,1.3,0.8,0.2,1.4,1.6,1.9,0.6,0.1,1.1,0.9,7.3
A.J. Price,2012,2011,2007,PG,24,53,1,15.65,2.45,6.35,0.383,0.95,3.05,0.31,1.5,3.3,0.4495,0.457,1.1,1.45,0.7335,0.25,1.25,1.5,2.05,0.6,0.05,1.1,1.05,6.9
A.J. Price,2013,2012,2008,PG,25,50,1,14.73333333,2.066666667,5.566666667,0.368333333,0.833333333,2.7,0.305,1.266666667,2.866666667,0.427666667,0.442666667,0.933333333,1.233333333,0.755666667,0.266666667,1.2,1.466666667,2.033333333,0.566666667,0.0333333333,0.966666667,0.933333333,5.9
A.J. Price,2014,2013,2009,PG,26,51.75,6.25,16.65,2.25,5.975,0.37375,0.925,2.9,0.31625,1.35,3.075,0.4275,0.45075,0.925,1.2,0.76425,0.3,1.3,1.6,2.425,0.575,0.05,1,1.025,6.35
A.J. Price,2015,2014,2010,SG,27,47,5,14.02,1.94,5.1,0.3816,0.78,2.48,0.3076,1.18,2.64,0.4504,0.4562,0.74,0.98,0.6114,0.24,1.1,1.36,2.04,0.46,0.04,0.86,0.86,5.4
A.J. Price,2016,2015,2011,PG,28,46.2,4.6,13.365,1.785,4.845,0.36405,0.665,2.285,0.271,1.14,2.58,0.4435,0.4288,0.63,0.88,0.55145,0.24,1.01,1.27,2.005,0.39,0.02,0.74,0.81,4.88
AJ Griffin,2024,2023,2019,SF,19,72,12,19.5,3.4,7.4,0.465,1.4,3.6,0.39,2,3.8,0.536,0.56,0.6,0.7,0.894,0.5,1.6,2.1,1,0.6,0.2,0.6,1.2,8.9
AJ Griffin,2025,2024,2020,SF,20,46,6,14.05,2.15,5.25,0.3775,0.95,2.8,0.323,1.2,2.5,0.442,0.4655,0.35,0.4,0.947,0.3,1.2,1.5,0.65,0.35,0.15,0.5,0.75,5.65
Aaron Brooks,2011,2010,2006,PG,25,82,82,35.6,7,16.2,0.432,2.5,6.4,0.398,4.5,9.8,0.454,0.511,3,3.6,0.822,0.7,2,2.6,5.3,0.8,0.2,2.8,2.4,19.6
Aaron Brooks,2012,2011,2007,PG,26,100,53,28.56666667,5.333333333,12.98333333,0.407833334,1.833333333,5.15,0.3505,3.516666666,7.833333333,0.444,0.476666667,2.533333333,2.983333334,0.849833333,0.516666666,1.483333334,1.95,4.633333333,0.683333334,0.133333333,2.25,2.15,15.11666667
Aaron Brooks,2014,2013,2009,PG,28,102,48.66666667,24.04444444,4.255555556,10.26666667,0.407444445,1.466666667,4.133333333,0.348888889,2.8,6.122222222,0.447222222,0.479444444,1.877777778,2.222222222,0.737444445,0.411111111,1.3,1.688888889,3.688888889,0.6,0.177777778,1.866666667,1.922222222,11.91111111
Aaron Brooks,2015,2014,2010,PG,29,112.5,42.5,23.64166666,4.025,9.8,0.40575,1.433333333,3.975,0.358166667,2.608333333,5.808333334,0.437416667,0.48075,1.716666667,2.008333334,0.771166667,0.458333333,1.325,1.766666667,3.625,0.633333333,0.175,1.825,1.958333333,11.25833333
Aaron Brooks,2016,2015,2011,PG,30,112.5,27.25,20.49166667,3.325,8.25,0.403,1.183333333,3.325,0.355416667,2.158333333,4.883333333,0.434416667,0.47675,1.416666667,1.633333334,0.773916667,0.383333333,1.225,1.616666667,3.1,0.608333333,0.175,1.6,1.933333333,9.258333332
Aaron Brooks,2017,2016,2012,PG,31,100.25,21.25,19.13333333,3.083333333,7.508333333,0.407333334,1.141666666,3.025,0.368916667,1.975,4.441666667,0.433416667,0.483916667,1.075,1.266666667,0.746,0.375,1.283333333,1.666666667,2.758333333,0.566666666,0.183333334,1.475,1.933333333,8.375
Aaron Brooks,2018,2017,2013,PG,32,93.2,17,18.06666667,2.846666667,6.926666667,0.406466667,1.053333333,2.82,0.370133333,1.8,4.073333333,0.431533333,0.483733333,0.96,1.133333333,0.7568,0.36,1.186666667,1.553333333,2.586666667,0.533333333,0.166666667,1.38,1.826666667,7.7
Aaron Brooks,2019,2018,2014,PG,33,78.4,9.2,16.24666667,2.606666667,6.4,0.406333333,0.966666667,2.6,0.372,1.626666667,3.773333333,0.4302,0.483933333,0.906666667,1.053333333,0.799666667,0.36,1.06,1.42,2.346666667,0.486666667,0.113333333,1.22,1.713333333,7.06
Aaron Gordon,2016,2015,2011,PF,19,47,8,17,2,4.4,0.447,0.3,1,0.271,1.7,3.4,0.5,0.478,0.9,1.3,0.721,1,2.6,3.6,0.7,0.4,0.5,0.8,1.8,5.2
Aaron Gordon,2017,2016,2012,PF,20,62.5,22.5,20.45,2.75,5.9,0.46,0.4,1.4,0.2835,2.35,4.5,0.5155,0.4935,1.3,1.9,0.6945,1.5,3.55,5.05,1.15,0.6,0.6,0.8,1.9,7.2
Aaron Gordon,2018,2017,2013,SF,21,68.33333333,39,23.2,3.466666667,7.533333333,0.458,0.6,2.033333333,0.285,2.9,5.5,0.519666667,0.495333333,1.533333333,2.166666667,0.702666667,1.5,3.566666667,5.066666667,1.4,0.666666667,0.566666667,0.9,2,9.033333333
Aaron Gordon,2019,2018,2014,PF,22,65.75,43.5,25.625,4.225,9.375,0.452,0.95,3,0.29775,3.3,6.375,0.514,0.4965,1.825,2.6,0.7015,1.5,4.275,5.775,1.625,0.75,0.625,1.125,1.975,11.175
Aaron Gordon,2020,2019,2015,PF,23,68.2,50.4,27.26,4.58,10.18,0.4514,1.08,3.28,0.308,3.54,6.9,0.511,0.4986,1.94,2.72,0.7074,1.54,4.56,6.1,2.04,0.74,0.64,1.32,2.02,12.14
Aaron Gordon,2021,2020,2016,PF,24,71.2,61.2,30.36,5.26,11.78,0.4494,1.26,3.84,0.3154,4.04,7.92,0.5098,0.4998,2.24,3.18,0.698,1.68,5.22,6.92,2.64,0.82,0.66,1.48,2.06,13.98
Aaron Gordon,2022,2021,2017,PF,25,75.6,73.8,31.11333333,5.48,12.29333333,0.448133333,1.4,4.186666667,0.321266667,4.12,8.093333333,0.5112,0.5028,2.28,3.28,0.696733333,1.586666667,5.146666667,6.753333333,2.96,0.793333333,0.66,1.706666667,2.02,14.62
Aaron Gordon,2023,2022,2018,PF,26,74.6,74.4,31.71333333,5.66,12.35333333,0.461333333,1.44,4.226666667,0.330666667,4.24,8.133333333,0.5266,0.5176,2.34,3.36,0.701533333,1.626666667,5.266666667,6.913333333,3.08,0.753333333,0.68,1.846666667,1.98,15.08
Aaron Gordon,2024,2023,2019,PF,27,76.6,76.6,31.17333333,5.62,11.61333333,0.487333333,1.22,3.546666667,0.332866667,4.42,8.053333333,0.5528,0.5382,2.36,3.5,0.683533333,1.806666667,4.806666667,6.653333333,3.22,0.713333333,0.68,1.766666667,1.98,14.82
Aaron Gordon,2025,2024,2020,PF,28,75.6,75.6,30.71333333,5.52,10.89333333,0.508733333,1,3.046666667,0.321066667,4.5,7.833333333,0.5768,0.5536,2.36,3.6,0.668933333,1.946666667,4.486666667,6.473333333,3.18,0.733333333,0.66,1.626666667,1.92,14.4
Aaron Gray,2011,2010,2006,C,25,64,0,8.966666667,1.233333333,2.566666667,0.483333333,0,0,0,1.233333333,2.566666667,0.483333333,0.483333333,0.566666667,0.9,0.619,1.233333333,1.8,3.033333333,0.6,0.233333333,0.266666667,0.466666667,1.6,3.066666667
Aaron Gray,2012,2011,2007,C,26,52.5,3,10.98333333,1.316666667,2.483333334,0.524666666,0,0,0,1.316666667,2.483333334,0.524666666,0.524666666,0.483333334,0.85,0.5595,1.316666667,2.25,3.616666667,0.5,0.266666666,0.283333334,0.633333333,1.95,3.083333333
Aaron Gray,2013,2012,2008,C,27,51.33333333,15.33333333,12.85555556,1.444444444,2.755555556,0.521777778,0,0,0,1.444444444,2.755555556,0.521777778,0.521777778,0.488888889,0.9,0.550333333,1.444444444,2.833333333,4.311111111,0.533333333,0.311111111,0.288888889,0.755555556,2.166666667,3.355555556
Aaron Gray,2014,2013,2009,C,28,49,15.5,12.69166667,1.358333333,2.591666667,0.524583333,0,0,0,1.358333333,2.591666667,0.524583333,0.524583333,0.491666667,0.925,0.5435,1.358333333,2.625,4.033333333,0.6,0.283333333,0.241666667,0.791666667,2.125,3.216666667
Aaron Gray,2015,2014,2010,C,29,54,14.8,11.80666667,1.22,2.353333333,0.5224,0,0,0,1.22,2.346666667,0.5234,0.5224,0.453333333,0.84,0.541866667,1.293333333,2.44,3.766666667,0.613333333,0.266666667,0.22,0.806666667,2.046666667,2.9
Aaron Harrison,2017,2016,2012,SG,21,21,0,4.4,0.2,0.9,0.263,0.1,0.5,0.3,0.1,0.4,0.222,0.342,0.2,0.6,0.417,0.2,0.5,0.7,0.1,0.3,0,0.2,0.5,0.9
Aaron Harrison,2018,2017,2013,SG,22,13,0,3.9,0.1,0.85,0.1315,0.05,0.45,0.15,0.05,0.4,0.111,0.171,0.2,0.5,0.4585,0.1,0.55,0.65,0.35,0.15,0,0.1,0.45,0.55
