name,start,salary,target,debut
A.J. Lawson,2023,1978006.0,0.013971107,2021
AJ Green,2012,10500000.0,0.175206354,2022
AJ Green,2015,15050000.0,0.18337669,2022
AJ Green,2016,748554.0,0.007951244,2022
AJ Green,2023,2108016.0,0.015220332,2022
Aaron Brooks,2012,2888562.5,0.049765049,2007
Aaron Brooks,2013,947907.0,0.01615411,2007
Aaron Brooks,2014,1145685.0,0.018166733,2007
Aaron Brooks,2015,2250000.0,0.032142857,2007
Aaron Brooks,2016,2700000.0,0.028679774,2007
Aaron Brooks,2017,2116955.0,0.021363315,2007
Aaron Gordon,2018,20000000.0,0.187412736,2014
Aaron Gordon,2022,21660000.0,0.162184423,2014
Aaron Harrison,2017,91442.0,0.00092279,2015
Aaron Holiday,2022,1968175.0,0.015916663,2018
Aaron Holiday,2023,2346614.0,0.017512045,2018
Aaron Nesmith,2024,11000000.0,0.075670284,2020
Adam Mokoka,2022,1836090.0,0.01484849,2019
Ade Murkey,2021,925258.0,0.008230808,2020
Admiral Schofield,2021,1489065.0,0.013246259,2019
Admiral Schofield,2022,1251873.0,0.010123917,2019
Al Horford,2016,28331557.0,0.288015015,2007
Al Horford,2019,27250000.0,0.247207388,2007
Al Horford,2023,9750000.0,0.072761194,2007
Al Jefferson,2008,13000000.0,0.223686701,2004
Al Jefferson,2013,13500000.0,0.221776843,2004
Al Jefferson,2016,10000000.0,0.103500383,2004
Al-Farouq Aminu,2013,3749602.0,0.063900237,2010
Al-Farouq Aminu,2014,981084.0,0.015556711,2010
Al-Farouq Aminu,2015,7500000.0,0.085474631,2010
Al-Farouq Aminu,2019,9720900.0,0.089068169,2010
Al-Farouq Aminu,2021,15182.0,0.000135054,2010
Alan Anderson,2015,4000000.0,0.057142857,2005
Alan Anderson,2016,1315448.0,0.013972871,2005
Alan Williams,2017,5666667.0,0.056395408,2015
Alec Burks,2015,10500000.0,0.119664484,2011
Alec Burks,2019,2320044.0,0.021257504,2011
Alec Burks,2020,6000000.0,0.054975261,2011
Alec Burks,2021,10012800.0,0.084829435,2011
Aleem Ford,2022,1637966.0,0.013246258,2021
Aleem Ford,2023,1801769.0,0.013446037,2021
Aleksej Pokusevski,2023,1419214.0,0.010591149,2020
Alex Caruso,2019,2750000.0,0.025196995,2016
Alex Caruso,2021,9245000.0,0.074945483,2016
Alex Len,2017,4187598.0,0.042259272,2013
Alex Len,2018,4255000.0,0.041769331,2013
Alex Len,2020,1977877.5,0.0181223885,2013
Alex Len,2021,3825300.0,0.03402868,2013
Alex Len,2023,3196448.0,0.02385409,2013
Alex Poythress,2017,1161810.0,0.011724441,2016
Alex Stepheson,2015,525093.0,0.007501329,2011
Alexis Ajinca,2015,5050000.0,0.057552918,2008
Alfonzo McKinnie,2018,1409095.0,0.013832422,2017
Alfonzo McKinnie,2019,1834739.0,0.016644442,2017
Alfonzo McKinnie,2021,527851.6666666666,0.004695604,2017
Alize Johnson,2020,996471.0,0.009068929666666666,2018
Alize Johnson,2021,906953.5,0.008067973499999999,2018
Alize Johnson,2022,1730636.5,0.0139956855,2018
Allen Crabbe,2016,18708125.0,0.190184426,2013
Alonzo Gee,2015,1349700.0,0.019281429,2009
Alonzo Gee,2016,874197.6666666666,0.009285848666666667,2009
Amida Brimah,2018,838464.0,0.008230806,2017
Amida Brimah,2019,898310.0,0.008230804,2017
Amida Brimah,2020,898310.0,0.008230804,2017
Amida Brimah,2023,1801769.0,0.013446037,2017
Amile Jefferson,2019,1641324.0,0.015038703,2017
Amile Jefferson,2020,1620564.0,0.014848488,2017
Amir Coffey,2021,153488.0,0.001365382,2019
Amir Coffey,2022,3666667.0,0.028461835,2019
Amir Johnson,2015,12000000.0,0.171428571,2005
Amir Johnson,2017,11000000.0,0.111006832,2005
Amir Johnson,2018,2393887.0,0.023499661,2005
Anderson Varejao,2015,5229287.5,0.06419802399999999,2004
Anderson Varejao,2016,1551659.0,0.016481937,2004
Anderson Varejao,2020,17567.0,0.000160958,2004
Andre Drummond,2016,25434263.0,0.251671763,2012
Andre Drummond,2020,794536.0,0.007279971,2012
Andre Drummond,2021,2401537.0,0.021363327,2012
Andre Drummond,2022,3280000.0,0.026525413,2012
Andre Iguodala,2017,16000000.0,0.159234084,2004
Andre Iguodala,2020,15000000.0,0.137438153,2004
Andre Iguodala,2021,2641691.0,0.023499662,2004
Andre Iguodala,2022,2905851.0,0.023499664,2004
Andre Jackson Jr.,2021,728742.0,0.006482662,2023
Andre Miller,2015,948015.5,0.0135430785,1999
Andrew Bogut,2016,383351.0,0.004072007,2005
Andrew Bogut,2017,2328652.0,0.023499662,2005
Andrew Bogut,2018,486892.0,0.004779589,2005
Andrew Goudelock,2012,17934.0,0.000308973,2011
Andrew Goudelock,2015,200600.0,0.002865714,2011
Andrew Harrison,2019,1620564.0,0.014848488,2016
Andrew Nicholson,2016,6500000.0,0.066078176,2012
Andrew White III,2020,1445697.0,0.013246262,2017
Andrew Wiggins,2018,29542010.0,0.273181109,2014
Andrew Wiggins,2023,27250001.0,0.192472961,2014
Anfernee Simons,2022,25000000.0,0.187193471,2018
Anthony Bennett,2015,947276.0,0.013532514,2013
Anthony Bennett,2016,1051721.0,0.011171526,2013
Anthony Bennett,2017,1577230.0,0.015916664,2013
Anthony Bennett,2019,1737145.0,0.015916667,2013
Anthony Brown,2016,875235.0,0.009296868,2015
Anthony Brown,2017,50000.0,0.000504577,2015
Anthony Brown,2018,1567007.0,0.01538257,2015
Anthony Davis,2016,25434263.0,0.251671763,2012
Anthony Davis,2020,37980720.0,0.317028436,2012
Anthony Davis,2025,59043600.0,0.399658849,2012
Anthony Gill,2020,1208146.0,0.01106969,2016
Anthony Gill,2022,1916664.0,0.015500093,2016
Anthony Lamb,2022,1044672.0,0.008448279500000001,2020
Anthony Morrow,2017,2116955.0,0.021363315,2008
Anthony Tolliver,2016,8000000.0,0.084977109,2007
Anthony Tolliver,2017,3290000.0,0.033201134,2007
Anthony Tolliver,2018,5750000.0,0.056445042,2007
Anthony Tolliver,2019,956348.6666666666,0.008762586333333334,2007
Anthony Tolliver,2020,747907.0,0.00685273,2007
Anthony Tolliver,2021,15182.0,0.000135054,2007
Antonio Blakeney,2018,1468807.0,0.014418587,2017
Antonius Cleveland,2020,1620564.0,0.014848488,2017
Anzejs Pasecniks,2019,1079612.5,0.0098919965,2017
Archie Goodwin,2016,914193.0,0.009710685,2013
Archie Goodwin,2017,1577230.0,0.015916664,2013
Arinze Onuaku,2016,980431.0,0.010414274,2013
Armoni Brooks,2021,1430252.0,0.012249523666666666,2019
Armoni Brooks,2022,1836090.0,0.01484849,2019
Aron Baynes,2015,6500000.0,0.079199235,2012
Aron Baynes,2017,4328000.0,0.043676143,2012
Aron Baynes,2018,5323440.0,0.052257704,2012
Aron Baynes,2020,7175000.0,0.06574125,2012
Arron Afflalo,2015,8000000.0,0.114285714,2007
Arron Afflalo,2016,12500000.0,0.132776733,2007
Arron Afflalo,2017,2328652.0,0.023499662,2007
Ashton Hagans,2021,1489065.0,0.013246259,2020
Ashton Hagans,2023,906062.0,0.0067616685,2020
Austin Reaves,2023,13456968.0,0.095049629,2021
Austin Rivers,2015,3227451.0,0.046106443,2012
Austin Rivers,2016,11825000.0,0.122389203,2012
Austin Rivers,2018,1155323.0,0.011341262,2012
Austin Rivers,2019,2271991.0,0.020817216,2012
Austin Rivers,2020,1203677.6666666667,0.010878682,2012
Austin Rivers,2021,2401537.0,0.021363327,2012
Austin Rivers,2022,2905851.0,0.023499664,2012
Avery Bradley,2014,8000000.0,0.105630083,2010
Avery Bradley,2018,12480000.0,0.122510283,2010
Avery Bradley,2019,4886175.0,0.044769791,2010
Avery Bradley,2020,5635000.0,0.051630933,2010
Avery Bradley,2021,2641691.0,0.023499662,2010
