name,debut,start,end,salary,birth
A.J. Lawson,2021,2023,2026,1978006,2000
Aaron Brooks,2007,2015,2015,2250000,1985
Aaron Brooks,2007,2016,2016,2700000,1985
Aaron Brooks,2007,2017,2017,2116955,1985
Aaron Brooks,2007,2014,2014,1145685,1985
Aaron Brooks,2007,2013,2013,947907,1985
Aaron Brooks,2007,2012,2013,2454000,1985
Aaron Brooks,2007,2012,2013,3323125,1985
Aaron Gordon,2014,2022,2025,21660000,1995
Aaron Gordon,2014,2018,2021,20000000,1995
Aaron Harrison,2015,2017,2017,91442,1994
Aaron Harrison,2015,2017,2017,8313,1994
Aaron Holiday,2018,2023,2023,2346614,1996
Aaron Holiday,2018,2022,2022,1968175,1996
Aaron Nesmith,2020,2024,2026,11000000,1999
Adam Mokoka,2019,2022,2022,1836090,1998
Ade Murkey,2020,2021,2021,5318,1998
Ade Murkey,2020,2021,2021,925258,1998
Admiral Schofield,2019,2022,2023,1251873,1997
Admiral Schofield,2019,2021,2021,8558,1997
Admiral Schofield,2019,2021,2021,1489065,1997
AJ Green,2022,2023,2025,2108016,1999
AJ Green,2022,2015,2017,15050000,1988
AJ Green,2022,2012,2015,10500000,1988
AJ Green,2022,2016,2017,748554,1992
AJ Green,2022,2016,2016,5145,1992
Al Horford,2007,2023,2024,9750000,1986
Al Horford,2007,2019,2022,27250000,1986
Al Horford,2007,2016,2019,28331557,1986
Al Jefferson,2004,2016,2018,10000000,1993
Al Jefferson,2004,2016,2018,10000000,1985
Al Jefferson,2004,2013,2015,13500000,1985
Al Jefferson,2004,2008,2012,13000000,1985
Alan Anderson,2005,2016,2016,1315448,1982
Alan Anderson,2005,2015,2015,4000000,1982
Alan Williams,2015,2017,2019,5666667,1993
Alec Burks,2011,2021,2023,10012800,1991
Alec Burks,2011,2020,2020,6000000,1991
Alec Burks,2011,2019,2019,2320044,1991
Alec Burks,2011,2015,2018,10500000,1991
Aleem Ford,2021,2023,2023,1801769,1997
Aleem Ford,2021,2022,2022,1637966,1997
Aleksej Pokusevski,2020,2023,2024,1419214,2001
Alex Caruso,2016,2021,2024,9245000,1994
Alex Caruso,2016,2019,2020,2750000,1994
Alex Len,2013,2023,2023,3196448,1993
Alex Len,2013,2021,2022,3825300,1993
Alex Len,2013,2020,2020,1697755,1993
Alex Len,2013,2020,2020,2258000,1993
Alex Len,2013,2018,2019,4255000,1993
Alex Len,2013,2017,2017,4187598,1993
Alex Poythress,2016,2017,2018,1161810,1993
Alex Stepheson,2011,2015,2015,3089,1987
Alex Stepheson,2011,2015,2015,525093,1987
Alexis Ajinca,2008,2015,2018,5050000,1988
Al-Farouq Aminu,2010,2021,2021,15182,1990
Al-Farouq Aminu,2010,2019,2021,9720900,1990
Al-Farouq Aminu,2010,2015,2018,7500000,1990
Al-Farouq Aminu,2010,2014,2014,981084,1990
Al-Farouq Aminu,2010,2013,2013,3749602,1990
Alfonzo McKinnie,2017,2021,2022,1563163,1992
Alfonzo McKinnie,2017,2021,2021,10283,1992
Alfonzo McKinnie,2017,2021,2021,10109,1992
Alfonzo McKinnie,2017,2019,2022,1834739,1992
Alfonzo McKinnie,2017,2019,2019,9156,1992
Alfonzo McKinnie,2017,2018,2019,1468807,1992
Alfonzo McKinnie,2017,2018,2018,1349383,1992
Alize Johnson,2018,2022,2022,1493098,1996
Alize Johnson,2018,2022,2022,1968175,1996
Alize Johnson,2018,2021,2021,9938,1996
Alize Johnson,2018,2021,2022,1803969,1996
Alize Johnson,2018,2020,2022,1357749,1996
Alize Johnson,2018,2020,2020,11100,1996
Alize Johnson,2018,2020,2020,1620564,1996
Allen Crabbe,2013,2016,2019,18708125,1992
Alonzo Gee,2009,2016,2016,77379,1987
Alonzo Gee,2009,2016,2016,1145214,1987
Alonzo Gee,2009,2016,2016,1400000,1987
Alonzo Gee,2009,2015,2016,1349700,1987
Amida Brimah,2017,2023,2023,1801769,1994
Amida Brimah,2017,2020,2020,898310,1994
Amida Brimah,2017,2019,2019,898310,1994
Amida Brimah,2017,2018,2018,838464,1994
Amile Jefferson,2017,2020,2020,1620564,1993
Amile Jefferson,2017,2019,2020,1641324,1993
Amir Coffey,2019,2022,2024,3666667,1997
Amir Coffey,2019,2021,2021,153488,1997
Amir Johnson,2005,2018,2018,2393887,1987
Amir Johnson,2005,2017,2017,11000000,1987
Amir Johnson,2005,2015,2016,12000000,1987
Anderson Varejao,2004,2015,2015,458575,1982
Anderson Varejao,2004,2015,2017,10000000,1982
Anderson Varejao,2004,2016,2016,1551659,1982
Anderson Varejao,2004,2020,2020,5270,1982
Anderson Varejao,2004,2020,2020,17567,1982
Andre Drummond,2012,2016,2020,25434263,1993
Andre Drummond,2012,2020,2020,794536,1993
Andre Drummond,2012,2021,2021,2401537,1993
Andre Drummond,2012,2022,2023,3280000,1993
Andre Iguodala,2004,2017,2019,16000000,1984
Andre Iguodala,2004,2020,2021,15000000,1984
Andre Iguodala,2004,2021,2021,2641691,1984
Andre Iguodala,2004,2022,2022,2905851,1984
Andre Ingram,2017,2018,2018,7624,1985
Andre Jackson Jr.,2023,2021,2021,728742,1986
Andre Miller,1999,2015,2015,396844,1976
Andre Miller,1999,2015,2015,1499187,1976
Andrew Bogut,2005,2016,2016,383351,1984
Andrew Bogut,2005,2017,2017,2328652,1984
Andrew Bogut,2005,2018,2018,486892,1984
Andrew Goudelock,2011,2015,2015,200600,1988
Andrew Goudelock,2011,2012,2012,17934,1988
Andrew Harrison,2016,2019,2019,1620564,1994
Andrew Nicholson,2012,2016,2019,6500000,1989
Andrew White III,2017,2020,2020,1445697,1993
Andrew Wiggins,2014,2018,2022,29542010,1995
Andrew Wiggins,2014,2023,2026,27250001,1995
Anfernee Simons,2018,2022,2025,25000000,1999
Anthony Bennett,2013,2019,2019,1737145,1993
Anthony Bennett,2013,2017,2017,1577230,1993
Anthony Bennett,2013,2016,2016,1051721,1993
Anthony Bennett,2013,2015,2015,947276,1993
Anthony Brown,2015,2018,2018,1567007,1992
Anthony Brown,2015,2017,2017,50000,1992
Anthony Brown,2015,2016,2016,5145,1992
Anthony Brown,2015,2016,2017,875235,1992
Anthony Davis,2012,2025,2027,59043600,1993
Anthony Davis,2012,2020,2024,37980720,1993
Anthony Davis,2012,2016,2020,25434263,1993
Anthony Gill,2016,2022,2023,1916664,1992
Anthony Gill,2016,2020,2021,1208146,1992
Anthony Lamb,2020,2021,2021,8558,1998
Anthony Lamb,2020,2022,2022,253254,1998
Anthony Lamb,2020,2022,2022,1836090,1998
Anthony Morrow,2008,2017,2017,2116955,1985
Anthony Tolliver,2007,2016,2017,8000000,1985
Anthony Tolliver,2007,2017,2017,3290000,1985
Anthony Tolliver,2007,2018,2018,5750000,1985
