name,start,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,debut,end,salary,birth,target,Pos,G,Pos_PG,Pos_SG,Pos_SF,Pos_PF,Pos_C,contract_period,Annual
A.J. Lawson,2023,0.0,7.290196078,1.407843137,2.917647059,0.48427451,0.521568627,1.488235294,0.334509804,0.88627451,1.45882353,0.610803921,0.572156863,0.221568627,0.517647059,0.410627451,0.350980392,0.95882353,1.309803922,0.262745098,0.139215686,0.04117647,0.237254902,0.623529412,3.515686275,2021,2026,1978006.0,2000,0.013971107,SG,59.64705882,False,True,False,False,False,4,3
Aaron Brooks,2012,9.076271186,21.79067797,3.694067797,9.929661017,0.37829661,1.194067797,4.012711864,0.299822034,2.521186441,5.916949153,0.428932203,0.437313559,2.094067797,2.378813559,0.884822034,0.321186441,0.994067797,1.315254237,3.934745763,0.578813559,0.078813559,1.692372881,1.907627119,10.72627119,2007,2013,2888562.5,1985,0.057251826,PG,118.0,True,False,False,False,False,2,6
Aaron Brooks,2013,18.67924528,18.78301887,2.691509434,5.989622642,0.446028302,0.903773585,2.531132075,0.369424528,1.787735849,3.408490566,0.501849057,0.524896226,0.790566038,0.977358491,0.718216981,0.236792453,1.264150943,1.50754717,2.15754717,0.566981132,0.213207547,1.297169811,1.770754717,7.114150943,2007,2013,947907.0,1985,0.01615411,PG,106.0,True,False,False,False,False,1,7
Aaron Brooks,2014,12.768,20.4212,2.986,7.1976,0.41964,1.1436,3.0496,0.380432,1.8596,4.098,0.446852,0.502356,1.0212,1.1696,0.80552,0.4404,1.2972,1.7404,2.7664,0.6496,0.1884,1.484,1.9148,8.1928,2007,2014,1145685.0,1985,0.018166733,PG,127.888,True,False,False,False,False,1,8
Aaron Brooks,2015,12.98230089,22.12522124,3.56460177,8.780973452,0.407756637,1.38539823,3.565044248,0.387977876,2.198230088,5.147787611,0.41929646,0.489115044,1.411946903,1.597345133,0.856438053,0.521238938,1.422566372,1.94380531,3.209292035,0.706637168,0.180973451,1.722566372,2.122123894,9.934955752,2007,2015,2250000.0,1985,0.032142857,PG,121.5044248,True,False,False,False,False,1,9
Aaron Brooks,2016,11.40397351,19.84701987,3.514569536,8.537748344,0.411860927,1.271523179,3.297350993,0.373291391,2.288741722,5.186092715,0.436516556,0.484033113,1.297350993,1.551655629,0.802384106,0.354304636,1.417218543,1.771523179,2.925827815,0.562913907,0.154304636,1.58013245,2.117218543,9.543708609,2007,2016,2700000.0,1985,0.028679774,PG,76.05960265,True,False,False,False,False,1,10
Aaron Brooks,2017,0.0,14.98432836,2.311940299,5.732835821,0.401970149,0.854477612,2.360447761,0.365731343,1.460447761,3.37238806,0.427089552,0.476820896,0.602985075,0.754477612,0.782492537,0.3,1.005970149,1.305970149,2.260447761,0.4,0.1,1.102985075,1.657462687,6.081343284,2007,2017,2116955.0,1985,0.021363315,PG,67.05970149,True,False,False,False,False,1,11
Aaron Gordon,2018,65.69565217,30.46521739,5.572463768,12.52318841,0.445594203,1.420289855,4.392753623,0.308173913,4.210144928,8.130434783,0.514971014,0.49942029,2.294202899,3.204347826,0.710173913,1.5,4.776811594,6.276811594,2.068115942,0.884057971,0.626086957,1.394202899,2.073913043,14.75942029,2014,2021,20000000.0,1995,0.187412736,SF,70.75362319,True,False,False,False,False,4,5
Aaron Gordon,2022,61.16455696,30.05727848,5.458544304,10.46518987,0.520617089,0.973734177,2.923101266,0.324892405,4.461708861,7.55221519,0.591585443,0.566332278,2.304113924,3.529746835,0.667731013,1.956962025,4.131645569,6.118037975,3.060126582,0.712974684,0.674683544,1.661075949,1.892088607,14.2028481,2014,2025,21660000.0,1995,0.162184423,PF,179.2911392,False,False,True,False,False,4,9
Aaron Harrison,2017,0.0,4.207692308,0.161538462,0.880769231,0.212423077,0.080769231,0.480769231,0.242307692,0.080769231,0.4,0.179307692,0.276230769,0.2,0.561538462,0.432961538,0.161538462,0.519230769,0.680769231,0.196153846,0.242307692,0.0,0.161538462,0.480769231,0.765384615,2015,2017,49877.5,1994,0.00092279,SG,17.92307692,False,False,False,True,False,1,3
