name,debut,start,end,salary,birth,target,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.J. Lawson,2021,2023,2026,1978006,2000,0.013971107,SG,51,0,7.267777777,1.429861111,2.92125,0.492088889,0.566805556,1.547083333,0.349722223,0.863055556,1.409583334,0.617705556,0.586888889,0.185138889,0.52125,0.361347223,0.361388889,0.970833334,1.332222223,0.214305556,0.126805556,0.029166667,0.224444445,0.64875,3.580138889
Aaron Brooks,2007,2012,2013,3323125,1985,0.057251826,PG,100,45.53813559,28.69533899,5.347033899,13.06483051,0.405148305,1.847033898,5.206355932,0.348911017,3.51059322,7.858474577,0.441466102,0.47415678,2.547033899,2.98940678,0.853411017,0.510593221,1.497033899,1.957627119,4.617372882,0.68940678,0.13940678,2.246186441,2.15381356,15.1631356
Aaron Brooks,2007,2012,2013,2454000,1985,0.042278272,PG,100,45.53813559,28.69533899,5.347033899,13.06483051,0.405148305,1.847033898,5.206355932,0.348911017,3.51059322,7.858474577,0.441466102,0.47415678,2.547033899,2.98940678,0.853411017,0.510593221,1.497033899,1.957627119,4.617372882,0.68940678,0.13940678,2.246186441,2.15381356,15.1631356
Aaron Brooks,2007,2015,2015,2250000,1985,0.032142857,PG,110.6666667,16.03197065,21.13670073,3.364762404,8.025476066,0.422414527,1.241304158,3.254127358,0.381653083,2.13341195,4.704682041,0.450072371,0.501886705,1.260512753,1.462823201,0.807000568,0.40902341,1.39522624,1.806450909,2.857376834,0.6591326,0.194448812,1.60623253,2.03052935,9.233652166
Aaron Brooks,2007,2016,2016,2700000,1985,0.028679774,PG,98.33333333,9.805555556,20.24236111,3.367592593,8.295601852,0.407405093,1.27337963,3.310416667,0.377511574,2.1375,4.935185185,0.426122685,0.483921296,1.230324074,1.437037037,0.822928241,0.430092593,1.373842593,1.803935185,3.004861111,0.603472222,0.156712963,1.573842593,2.073611111,9.228935185
Aaron Brooks,2007,2017,2017,2116955,1985,0.021363315,PG,72,7,17.63333333,2.933333333,7.133333333,0.408333333,1.066666667,2.833333333,0.373,1.866666667,4.266666667,0.432,0.483,1,1.2,0.799666667,0.333333333,1.2,1.533333333,2.566666667,0.5,0.133333333,1.366666667,1.866666667,7.9
Aaron Brooks,2007,2014,2014,1145685,1985,0.018166733,PG,125,13.54795597,20.2050511,2.947143606,7.038214099,0.42312179,1.111956237,2.981191038,0.378979625,1.850117925,4.007023061,0.454108557,0.505330057,0.99076913,1.144234801,0.794000852,0.413535116,1.292839361,1.709676363,2.686065252,0.6386989,0.191673218,1.459348794,1.895794025,8.05047825
Aaron Brooks,2007,2013,2013,947907,1985,0.01615411,PG,112,13.87775823,20.28684842,3.192788616,7.95964183,0.412162456,1.048920691,3.27192197,0.334623281,2.154461145,4.66271986,0.46539063,0.481104893,1.442316918,1.678086025,0.801519508,0.278989447,1.12910937,1.411400704,3.046146466,0.572897345,0.146010553,1.494771346,1.839190918,8.920211067
Aaron Gordon,2014,2018,2021,20000000,1995,0.187412736,PF,72,55.33333333,28.5,4.966666667,11.03333333,0.453666667,1.166666667,3.666666667,0.306666667,3.833333333,7.366666667,0.518666667,0.502666667,2.133333333,3.033333333,0.695,1.666666667,4.833333333,6.5,1.933333333,0.866666667,0.666666667,1.233333333,2.033333333,13.16666667
Aaron Gordon,2014,2022,2025,21660000,1995,0.162184423,PF,126,57.20679012,30.44506173,5.285339506,11.02237654,0.48292284,1.089660494,3.323148148,0.319773148,4.18441358,7.675308642,0.549240741,0.531220679,2.263734568,3.458333333,0.668257716,1.793981481,4.719907407,6.566049383,3.29845679,0.735185185,0.654320988,1.687962963,1.911574074,13.94583333
Aaron Harrison,2015,2017,2017,91442,1994,0.00092279,SG,13,0,3.9,0.1,0.85,0.1315,0.05,0.45,0.15,0.05,0.4,0.111,0.171,0.2,0.5,0.4585,0.1,0.55,0.65,0.35,0.15,0,0.1,0.45,0.55
Aaron Harrison,2015,2017,2017,8313,1994,8.39E-05,SG,13,0,3.9,0.1,0.85,0.1315,0.05,0.45,0.15,0.05,0.4,0.111,0.171,0.2,0.5,0.4585,0.1,0.55,0.65,0.35,0.15,0,0.1,0.45,0.55
Aaron Holiday,2018,2023,2023,2346614,1996,0.017512045,PG,132,7.15980025,15.59225968,2.093133583,5.002746567,0.415990012,0.784769039,2.034456929,0.388414482,1.313483146,2.970162297,0.434947566,0.494307116,0.711360799,0.891011236,0.845409488,0.321598002,1.069787765,1.383520599,1.764794007,0.636953808,0.17690387,0.822097378,1.394007491,5.643945069
Aaron Holiday,2018,2022,2022,1968175,1996,0.015916663,PG,133,16.15980025,19.29225968,2.75980025,6.669413233,0.414656679,1.018102372,2.667790262,0.383414482,1.746816479,4.00349563,0.435947566,0.491307116,0.944694132,1.157677903,0.847742821,0.288264669,1.469787765,1.783520599,2.431460674,0.703620474,0.17690387,1.055430712,1.560674157,7.510611735
Aaron Nesmith,2020,2024,2026,11000000,1999,0.075670284,SF,114,49.0676819,24.95143824,3.724873096,8.013874788,0.455678511,1.64856176,4.25177665,0.381676819,2.030795262,3.762098139,0.544895093,0.557996616,1.448900169,1.776818951,0.809416244,0.801522843,2.768020305,3.615228426,1.311844332,0.810321489,0.555837563,0.91928934,3.078341794,10.50152284
Adam Mokoka,2019,2022,2022,1836090,1998,0.01484849,SF,12.5,0,7.1,0.8,1.95,0.3985,0.3,1.05,0.25,0.45,0.9,0.5645,0.4655,0.1,0.25,0.25,0.35,0.3,0.65,0.4,0.25,0.05,0.3,0.95,2
Admiral Schofield,2019,2021,2021,1489065,1997,0.013246259,PF,33,2,11.2,1.1,2.8,0.38,0.6,1.8,0.311,0.5,0.9,0.516,0.484,0.3,0.5,0.667,0.2,1.2,1.4,0.5,0.2,0.1,0.2,1.5,3
